Designator,Mid X,Mid Y,Rotation,Layer
C1,44.4,-30.6,0.0,top
C10,9.4,-49.3,270.0,top
C11,5.6,-40.0,180.0,top
C12,2.5,-29.4,180.0,top
C2,41.3,-36.1,180.0,top
C3,44.4,-29.1,0.0,top
C4,34.8,-25.4,90.0,top
C5,32.9,-34.3,90.0,top
C6,33.7,-25.4,90.0,top
C7,47.9,-33.5,90.0,top
C8,45.2,-35.8,180.0,top
C9,36.2,-25.4,90.0,top
J1,3.7,-46.4,270.0,top
J16,3.6,-15.55,270.0,top
J17,8.35,-3.6,180.0,top
J18,22.55,-12.0,180.0,top
J19,36.49,-3.6,180.0,top
J20,51.05,-12.0,180.0,top
J21,65.65,-58.0,0.0,top
J22,51.35,-50.0,0.0,top
J23,37.05,-58.0,0.0,top
J24,22.75,-50.0,0.0,top
J25,8.35,-58.0,0.0,top
J26,65.65,-3.6,180.0,top
J27,69.8,-21.85,90.0,top
J28,77.6,-8.35,90.0,top
J29,69.8,-38.55,90.0,top
J30,77.6,-53.25,90.0,top
R1,39.3,-36.1,0.0,top
R2,42.5,-33.6,90.0,top
R3,10.8,-49.2,270.0,top
R4,9.5,-43.6,90.0,top
R5,13.2,-39.9,0.0,top
R6,11.11,-39.89,0.0,top
U1,37.8,-31.2,270.0,top
U2,11.9,-43.1,270.0,top
U3,4.4,-34.6,270.0,top
Y1,45.2,-33.5,180.0,top
